,Genre,Number of Books
1007,Figure Drawing,24
1008,Study & Teaching,145
1009,Specific Objects,16
1010,Drawing,128
1011,Architecture,209
1012,Conceptual,14
1013,Rap & Hip-Hop,27
1014,Photography & Video,73
1015,Rap,28
1016,Drug Guides,2
1017,Drug Dependency,49
1018,Herbal Remedies,46
1019,"Beauty, Grooming, & Style",81
1020,Bisexual,22
1021,Minority Studies,105
1022,Marriage & Family,113
1023,Catholicism,165
1024,Behavioral Sciences,164
1025,Norse & Icelandic Sagas,18
1026,Censorship,67
1027,Church & State,71
1028,Conservatism & Liberalism,189
1029,"Religion, Politics & State",68
1030,Ethics & Morality,271
1031,Ideologies & Doctrines,62
1032,Istanbul,2
1033,Renaissance,76
1034,Fencing,3
1035,Eastern Philosophy,14
1036,Military Science,11
1037,Strategy,118
1038,Angels & Spirit Guides,73
1039,Erotic,9
1040,Financial Services,7
1041,Analysis & Strategy,13
1042,Social History,47
1043,Bonds,19
1044,Stocks,80
1045,Mutual Funds,8
1046,Corporate Finance,35
1047,Accounting,71
1048,Risk Management,13
1049,Free Will & Determinism,41
1050,Themes,59
1051,Painting,76
1052,Art History,125
1053,Gluten Free,92
1054,Vegan & Vegetarian,22
1055,Vegan,112
1056,Allergies,83
1057,Raw,20
1058,Traditional Detectives,235
1059,Crime Fiction,214
1060,Country & Ethnic,18
1061,Theories of Humor,12
1062,Women Writers,134
1063,Marine Life,157
1064,Flutes,1
1065,Anthologies & Literature Collections,121
1066,Fishing,16
1067,Instruction & Study,39
1068,Piano,66
1069,Jazz,67
1070,Songwriting,15
1071,Composition,11
1072,Instruments,13
1073,Galactic Empire,152
1074,Recording & Sound,19
1075,Electronics,47
1076,Business & Finance,212
1077,Media & Communications,50
1078,Film & Television,167
1079,"Biographies, Diaries & True Accounts",26
1080,C++,24
1081,Early Childhood,142
1082,Dysfunctional Families,36
1083,Rural,44
1084,Play & Scriptwriting,24
1085,West,126
1086,Mountain,35
1087,Native American Studies,125
1088,Dogs & Wolves,10
1089,Rivers,42
1090,Climatology,33
1091,Sustainable Living,54
1092,Home Improvement & Design,64
1093,Natural History,79
1094,Social Philosophy,49
1095,Endangered Species,18
1096,Environmental,48
1097,Travel with Pets,13
1098,Montana,2
1099,Religious History,23
1100,Circus,8
1101,Road Travel,29
